geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.99668789905275,2.0626249999999997;"{""coordinates"": [2.062625, 48.99668789905275], ""type"": ""Point""}";n5818946648;NON;8;;public;NON;NON;arceaux;78382;Maurecourt;2022-12-01T01:00:00+01:00;
48.70338269905079,2.3621577999999994;"{""coordinates"": [2.3621578, 48.70338269905079], ""type"": ""Point""}";n7281941499;OUI;3;;public;NON;NON;arceaux;91027;Athis-Mons;2021-01-01T01:00:00+01:00;
48.915854699052225,2.2816240999999993;"{""coordinates"": [2.2816241, 48.915854699052225], ""type"": ""Point""}";n9423397591;NON;10;;public;NON;NON;arceaux;92004;Asnières-sur-Seine;2022-01-01T01:00:00+01:00;
48.917691799052236,2.351671299999999;"{""coordinates"": [2.3516713, 48.917691799052236], ""type"": ""Point""}";n9148427707;NON;0;;public;NON;NON;arceaux;93066;Saint-Denis;2022-11-01T01:00:00+01:00;
48.75303679905114,2.5052632999999993;"{""coordinates"": [2.5052633, 48.75303679905114], ""type"": ""Point""}";n9924416865;OUI;0;;public;NON;NON;batiment;94004;Boissy-Saint-Léger;2022-08-01T02:00:00+02:00;
48.882809699052,2.2936342999999995;"{""coordinates"": [2.2936343, 48.882809699052], ""type"": ""Point""}";n8650890629;NON;5;;public;NON;NON;autres;75117;17e Arrondissement;2021-08-01T02:00:00+02:00;
48.859219699051835,2.4309389999999986;"{""coordinates"": [2.430939, 48.859219699051835], ""type"": ""Point""}";n7649735322;NON;6;;public;NON;NON;arceaux;93048;Montreuil;2021-03-01T01:00:00+01:00;
48.89074769905204,2.3435233;"{""coordinates"": [2.3435233, 48.89074769905204], ""type"": ""Point""}";n7217051529;NON;28;;public;NON;NON;arceaux;75118;18e Arrondissement;2022-08-01T02:00:00+02:00;
48.83336079905167,2.315660299999999;"{""coordinates"": [2.3156603, 48.83336079905167], ""type"": ""Point""}";n10271227088;NON;6;;public;NON;NON;arceaux;75114;14e Arrondissement;2023-04-01T02:00:00+02:00;
48.71014874535488,2.3252441415991676;"{""coordinates"": [2.325244141599168, 48.71014874535488], ""type"": ""Point""}";w92270120;OUI;0;;clientele;NON;NON;inconnu;91432;Morangis;2023-03-01T01:00:00+01:00;
48.89326679905208,2.293128999999999;"{""coordinates"": [2.293129, 48.89326679905208], ""type"": ""Point""}";n8074256520;NON;6;;public;NON;NON;arceaux;92044;Levallois-Perret;2020-11-01T01:00:00+01:00;
48.85996909905184,2.296595799999999;"{""coordinates"": [2.2965958, 48.85996909905184], ""type"": ""Point""}";n10684221630;NON;6;;public;NON;NON;arceaux;75107;7e Arrondissement;2023-02-01T01:00:00+01:00;
48.797443499051425,2.1357268999999985;"{""coordinates"": [2.1357269, 48.797443499051425], ""type"": ""Point""}";n5859634123;NON;6;;public;NON;NON;arceaux;78646;Versailles;2022-03-01T01:00:00+01:00;
48.820167299051576,2.4225603999999996;"{""coordinates"": [2.4225604, 48.820167299051576], ""type"": ""Point""}";n9246430970;NON;4;;public;NON;NON;arceaux;94069;Saint-Maurice;2021-11-01T01:00:00+01:00;
49.01868609905292,2.2443243999999996;"{""coordinates"": [2.2443244, 49.01868609905292], ""type"": ""Point""}";n10732804137;NON;4;;public;NON;NON;arceaux;95563;Saint-Leu-la-Forêt;2023-03-01T01:00:00+01:00;
48.82168099905158,2.3430754999999994;"{""coordinates"": [2.3430755, 48.82168099905158], ""type"": ""Point""}";n7488935361;NON;4;;public;NON;NON;autres;75113;13e Arrondissement;2021-06-01T02:00:00+02:00;
48.775613199051286,2.3893753;"{""coordinates"": [2.3893753, 48.775613199051286], ""type"": ""Point""}";n8210060652;NON;6;;public;NON;NON;autres;94081;Vitry-sur-Seine;2022-05-01T02:00:00+02:00;
48.830962099051646,2.345039599999999;"{""coordinates"": [2.3450396, 48.830962099051646], ""type"": ""Point""}";n7537095855;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-07-01T02:00:00+02:00;
48.90229989905213,2.4796091;"{""coordinates"": [2.4796091, 48.90229989905213], ""type"": ""Point""}";n9306740060;NON;2;;public;NON;NON;inconnu;93010;Bondy;2021-12-01T01:00:00+01:00;
48.733015399051006,2.2312812;"{""coordinates"": [2.2312812, 48.733015399051006], ""type"": ""Point""}";n7659073591;NON;10;;public;NON;NON;arceaux;91312;Igny;2020-06-01T02:00:00+02:00;
48.94984299905244,2.5330777999999996;"{""coordinates"": [2.5330778, 48.94984299905244], ""type"": ""Point""}";n9066909959;NON;18;;public;NON;NON;ratelier;93071;Sevran;2023-03-01T01:00:00+01:00;
48.89821729905211,2.3527800999999995;"{""coordinates"": [2.3527801, 48.89821729905211], ""type"": ""Point""}";n6060074653;NON;20;;public;NON;NON;arceaux;75118;18e Arrondissement;2019-07-01T02:00:00+02:00;
48.82461319905159,2.346635599999999;"{""coordinates"": [2.3466356, 48.82461319905159], ""type"": ""Point""}";n7488775347;NON;4;;public;NON;NON;autres;75113;13e Arrondissement;2020-11-01T01:00:00+01:00;
48.88932519905203,2.2468213999999995;"{""coordinates"": [2.2468214, 48.88932519905203], ""type"": ""Point""}";n9872160718;OUI;4;;public;NON;NON;arceaux;92026;Courbevoie;2022-07-01T02:00:00+02:00;
48.87777059905197,2.2384005;"{""coordinates"": [2.2384005, 48.87777059905197], ""type"": ""Point""}";n7795018170;NON;6;;public;NON;NON;arceaux;92062;Puteaux;2020-08-01T02:00:00+02:00;
48.805309599051455,2.5975715999999998;"{""coordinates"": [2.5975716, 48.805309599051455], ""type"": ""Point""}";n8002925434;NON;6;;public;NON;NON;ratelier;77373;Pontault-Combault;2020-10-01T02:00:00+02:00;
48.88878929905205,2.2280828;"{""coordinates"": [2.2280828, 48.88878929905205], ""type"": ""Point""}";n5165049153;NON;10;;public;NON;NON;arceaux;92050;Nanterre;2017-10-01T02:00:00+02:00;
48.73058769905098,2.2831218;"{""coordinates"": [2.2831218, 48.73058769905098], ""type"": ""Point""}";n7292645626;NON;4;;public;NON;NON;arceaux;91377;Massy;2022-02-01T01:00:00+01:00;
48.87353999905192,2.3564964;"{""coordinates"": [2.3564964, 48.87353999905192], ""type"": ""Point""}";n10720018791;NON;6;;public;NON;NON;arceaux;75110;10e Arrondissement;2023-03-01T01:00:00+01:00;
48.829132449051635,2.3114451999999983;"{""coordinates"": [2.3114452, 48.829132449051635], ""type"": ""Point""}";w893440268;OUI;0;;public;NON;NON;abri;75114;14e Arrondissement;2021-01-01T01:00:00+01:00;
48.86292479905187,2.2224472;"{""coordinates"": [2.2224472, 48.86292479905187], ""type"": ""Point""}";n9670320105;NON;6;;public;NON;NON;arceaux;92073;Suresnes;2022-04-01T02:00:00+02:00;
48.88236069905199,2.4207661;"{""coordinates"": [2.4207661, 48.88236069905199], ""type"": ""Point""}";n8074711484;NON;14;;public;NON;NON;arceaux;93045;Les Lilas;2022-05-01T02:00:00+02:00;
48.9277155990523,2.1895503999999995;"{""coordinates"": [2.1895504, 48.9277155990523], ""type"": ""Point""}";n8870415592;NON;12;;clientele;NON;NON;arceaux;78311;Houilles;2021-06-01T02:00:00+02:00;
48.9731190990526,2.2543831;"{""coordinates"": [2.2543831, 48.9731190990526], ""type"": ""Point""}";n10262117203;NON;70;;public;NON;NON;arceaux;95582;Sannois;2022-12-01T01:00:00+01:00;
48.898961199052096,2.2560971;"{""coordinates"": [2.2560971, 48.898961199052096], ""type"": ""Point""}";n3590383811;NON;6;;clientele;NON;NON;arceaux;92026;Courbevoie;2015-06-01T02:00:00+02:00;
48.85960969905183,2.3072269000000003;"{""coordinates"": [2.3072269, 48.85960969905183], ""type"": ""Point""}";n2603045676;NON;16;;public;NON;NON;arceaux;75107;7e Arrondissement;2018-05-01T02:00:00+02:00;
48.814434699051546,2.3504638999999994;"{""coordinates"": [2.3504639, 48.814434699051546], ""type"": ""Point""}";n9727633424;NON;6;;public;NON;NON;arceaux;94037;Gentilly;2022-05-01T02:00:00+02:00;
48.84586849905173,2.2431052000000005;"{""coordinates"": [2.2431052, 48.84586849905173], ""type"": ""Point""}";n7861596529;NON;0;;public;NON;NON;inconnu;92012;Boulogne-Billancourt;2020-08-01T02:00:00+02:00;
48.89096549905206,2.3455335;"{""coordinates"": [2.3455335, 48.89096549905206], ""type"": ""Point""}";n627612948;NON;22;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-11-01T01:00:00+01:00;
48.84287919905173,2.3878782999999992;"{""coordinates"": [2.3878783, 48.84287919905173], ""type"": ""Point""}";n7645332885;NON;2;;public;NON;NON;arceaux;75112;12e Arrondissement;2021-03-01T01:00:00+01:00;
48.82159709905157,2.3788752000000004;"{""coordinates"": [2.3788752, 48.82159709905157], ""type"": ""Point""}";n9981811369;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2022-08-01T02:00:00+02:00;
48.8991592990521,2.213517799999999;"{""coordinates"": [2.2135178, 48.8991592990521], ""type"": ""Point""}";n9565458937;NON;20;;public;NON;NON;arceaux;92050;Nanterre;2022-03-01T01:00:00+01:00;
48.801246499051445,2.1707761;"{""coordinates"": [2.1707761, 48.801246499051445], ""type"": ""Point""}";n6817018662;NON;12;;public;NON;NON;arceaux;78686;Viroflay;2021-06-01T02:00:00+02:00;
48.72447599905095,2.6580308999999995;"{""coordinates"": [2.6580309, 48.72447599905095], ""type"": ""Point""}";n5592436534;NON;6;;public;NON;NON;ratelier;77114;Chevry-Cossigny;2023-03-01T01:00:00+01:00;
48.9144048990522,2.2675649999999994;"{""coordinates"": [2.267565, 48.9144048990522], ""type"": ""Point""}";n8951540247;NON;6;;public;NON;NON;arceaux;92009;Bois-Colombes;2022-09-01T02:00:00+02:00;
48.817402099051556,2.3081788;"{""coordinates"": [2.3081788, 48.817402099051556], ""type"": ""Point""}";n8850551317;NON;4;;public;NON;NON;arceaux;92049;Montrouge;2022-06-01T02:00:00+02:00;
48.82573869905161,2.2924963;"{""coordinates"": [2.2924963, 48.82573869905161], ""type"": ""Point""}";n5506559584;NON;4;;public;NON;NON;arceaux;92075;Vanves;2018-03-01T01:00:00+01:00;
48.69855379905077,2.1759233000000004;"{""coordinates"": [2.1759233, 48.69855379905077], ""type"": ""Point""}";n9666952099;NON;6;;public;NON;NON;arceaux;91471;Orsay;2022-04-01T02:00:00+02:00;
48.8562491990518,2.426330999999998;"{""coordinates"": [2.426331, 48.8562491990518], ""type"": ""Point""}";n4237670087;NON;2;;public;NON;NON;ratelier;93048;Montreuil;2022-08-01T02:00:00+02:00;
48.78104119905132,2.196745299999999;"{""coordinates"": [2.1967453, 48.78104119905132], ""type"": ""Point""}";n8942673709;NON;10;;public;NON;NON;arceaux;78640;Vélizy-Villacoublay;2021-07-01T02:00:00+02:00;
48.8717018990519,2.342328;"{""coordinates"": [2.342328, 48.8717018990519], ""type"": ""Point""}";n10607708809;NON;6;;public;NON;NON;inconnu;75109;9e Arrondissement;2023-02-01T01:00:00+01:00;
48.73679399905101,2.2622384999999996;"{""coordinates"": [2.2622385, 48.73679399905101], ""type"": ""Point""}";n5287405670;NON;4;;public;NON;NON;arceaux;91377;Massy;2017-12-01T01:00:00+01:00;
48.84306369905173,2.2817785;"{""coordinates"": [2.2817785, 48.84306369905173], ""type"": ""Point""}";n7591423812;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-06-01T02:00:00+02:00;
48.84807169905178,2.445851199999999;"{""coordinates"": [2.4458512, 48.84807169905178], ""type"": ""Point""}";n4672384904;NON;18;;public;NON;NON;arceaux;94080;Vincennes;2022-07-01T02:00:00+02:00;
48.71578779905088,2.4875715999999994;"{""coordinates"": [2.4875716, 48.71578779905088], ""type"": ""Point""}";n2472039148;NON;0;;clientele;NON;NON;inconnu;91691;Yerres;2023-03-01T01:00:00+01:00;
48.81986869905158,2.396029699999999;"{""coordinates"": [2.3960297, 48.81986869905158], ""type"": ""Point""}";n5470778526;NON;6;;public;NON;NON;arceaux;94041;Ivry-sur-Seine;2022-05-01T02:00:00+02:00;
48.77380519905125,2.063942699999999;"{""coordinates"": [2.0639427, 48.77380519905125], ""type"": ""Point""}";n5664200232;NON;18;;public;NON;NON;arceaux;78297;Guyancourt;2022-06-01T02:00:00+02:00;
48.86068479905184,2.4109274999999997;"{""coordinates"": [2.4109275, 48.86068479905184], ""type"": ""Point""}";n10704150074;NON;10;;public;NON;NON;arceaux;75120;20e Arrondissement;2023-03-01T01:00:00+01:00;
48.8409679990517,2.2953577999999997;"{""coordinates"": [2.2953578, 48.8409679990517], ""type"": ""Point""}";n8034986606;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2020-10-01T02:00:00+02:00;
48.71349499905087,2.2013103999999983;"{""coordinates"": [2.2013104, 48.71349499905087], ""type"": ""Point""}";n7906690301;NON;10;;public;NON;NON;arceaux;91477;Palaiseau;2022-07-01T02:00:00+02:00;
48.84670259905175,2.3489782999999997;"{""coordinates"": [2.3489783, 48.84670259905175], ""type"": ""Point""}";n8188109114;NON;8;;public;NON;NON;arceaux;75105;5e Arrondissement;2021-01-01T01:00:00+01:00;
48.821719499051596,2.246178299999999;"{""coordinates"": [2.2461783, 48.821719499051596], ""type"": ""Point""}";n10595796518;NON;6;;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2023-03-01T01:00:00+01:00;
48.694361299050755,2.2959667999999986;"{""coordinates"": [2.2959668, 48.694361299050755], ""type"": ""Point""}";n2946696710;NON;6;;public;NON;NON;ratelier;91345;Longjumeau;2022-02-01T01:00:00+01:00;
48.84446229905174,2.2410112000000004;"{""coordinates"": [2.2410112, 48.84446229905174], ""type"": ""Point""}";n1195328264;NON;0;;public;NON;NON;inconnu;92012;Boulogne-Billancourt;2011-03-01T01:00:00+01:00;
48.84941179905177,2.3900646999999995;"{""coordinates"": [2.3900647, 48.84941179905177], ""type"": ""Point""}";n10572778810;NON;0;;public;NON;NON;autres;75111;11e Arrondissement;2023-01-01T01:00:00+01:00;
48.79754749905144,2.5041515999999997;"{""coordinates"": [2.5041516, 48.79754749905144], ""type"": ""Point""}";n1642963236;NON;6;;public;NON;NON;arceaux;94068;Saint-Maur-des-Fossés;2021-04-01T02:00:00+02:00;
48.8694571990519,2.3460433999999997;"{""coordinates"": [2.3460434, 48.8694571990519], ""type"": ""Point""}";n7621825462;NON;10;;public;NON;NON;arceaux;75102;2e Arrondissement;2022-05-01T02:00:00+02:00;
48.77885339905131,2.0434424;"{""coordinates"": [2.0434424, 48.77885339905131], ""type"": ""Point""}";n5664223816;NON;6;;public;NON;NON;ratelier;78423;Montigny-le-Bretonneux;2022-09-01T02:00:00+02:00;
48.9114604990522,2.1797016999999994;"{""coordinates"": [2.1797017, 48.9114604990522], ""type"": ""Point""}";n6190825257;NON;8;;public;NON;NON;arceaux;78124;Carrières-sur-Seine;2019-01-01T01:00:00+01:00;
48.8533376990518,2.2773268999999994;"{""coordinates"": [2.2773269, 48.8533376990518], ""type"": ""Point""}";n5537510422;OUI;28;;public;NON;NON;arceaux;75116;16e Arrondissement;2023-03-01T01:00:00+01:00;
48.83933819905172,2.2871464000000006;"{""coordinates"": [2.2871464, 48.83933819905172], ""type"": ""Point""}";n7994385279;OUI;6;Duranton - abris à vélos sécurisé;clientele;OUI;NON;abri;75115;15e Arrondissement;2020-10-01T02:00:00+02:00;
48.793580999051414,2.2931644999999996;"{""coordinates"": [2.2931645, 48.793580999051414], ""type"": ""Point""}";n7701886185;NON;6;;public;NON;NON;arceaux;92032;Fontenay-aux-Roses;2020-11-01T01:00:00+01:00;
48.822168099051595,2.327593299999999;"{""coordinates"": [2.3275933, 48.822168099051595], ""type"": ""Point""}";n5344429942;NON;10;;public;NON;NON;arceaux;75114;14e Arrondissement;2019-12-01T01:00:00+01:00;
48.85045449905178,2.3820287999999987;"{""coordinates"": [2.3820288, 48.85045449905178], ""type"": ""Point""}";n5686039539;NON;18;;public;NON;NON;arceaux;75111;11e Arrondissement;2019-05-01T02:00:00+02:00;
48.8535266990518,2.398429399999999;"{""coordinates"": [2.3984294, 48.8535266990518], ""type"": ""Point""}";n3376861786;NON;22;;public;NON;NON;arceaux;75120;20e Arrondissement;2018-05-01T02:00:00+02:00;
48.88405249905201,2.2368549;"{""coordinates"": [2.2368549, 48.88405249905201], ""type"": ""Point""}";n5216987000;NON;4;;public;NON;NON;arceaux;92062;Puteaux;2017-11-01T01:00:00+01:00;
48.836304599051694,2.4778979999999997;"{""coordinates"": [2.477898, 48.836304599051694], ""type"": ""Point""}";n10210026491;NON;10;;public;NON;NON;arceaux;94052;Nogent-sur-Marne;2022-11-01T01:00:00+01:00;
48.84286799905172,2.2954018999999994;"{""coordinates"": [2.2954019, 48.84286799905172], ""type"": ""Point""}";n2500448770;NON;10;;public;NON;NON;arceaux;75115;15e Arrondissement;2020-05-01T02:00:00+02:00;
48.851660799051785,2.367416199999999;"{""coordinates"": [2.3674162, 48.851660799051785], ""type"": ""Point""}";n4243524697;NON;10;;public;NON;NON;arceaux;75104;4e Arrondissement;2018-03-01T01:00:00+01:00;
48.83497469905167,2.3737441;"{""coordinates"": [2.3737441, 48.83497469905167], ""type"": ""Point""}";n8269359958;NON;0;;public;NON;NON;autres;75113;13e Arrondissement;2022-07-01T02:00:00+02:00;
48.81000239905151,2.2945386;"{""coordinates"": [2.2945386, 48.81000239905151], ""type"": ""Point""}";n5699144457;NON;8;;public;NON;NON;arceaux;92020;Châtillon;2018-06-01T02:00:00+02:00;
48.94359899905241,2.2515187;"{""coordinates"": [2.2515187, 48.94359899905241], ""type"": ""Point""}";n8849955317;NON;4;;public;NON;NON;inconnu;95018;Argenteuil;2021-06-01T02:00:00+02:00;
48.83370379905166,2.3255804000000007;"{""coordinates"": [2.3255804, 48.83370379905166], ""type"": ""Point""}";n10770257805;NON;8;;public;NON;NON;arceaux;75114;14e Arrondissement;2023-03-01T01:00:00+01:00;
48.882085599052,2.3732089999999997;"{""coordinates"": [2.373209, 48.882085599052], ""type"": ""Point""}";n5627507649;NON;10;;public;NON;NON;arceaux;75119;19e Arrondissement;2018-10-01T02:00:00+02:00;
48.704114499050824,2.1990012999999995;"{""coordinates"": [2.1990013, 48.704114499050824], ""type"": ""Point""}";n5173453499;NON;4;;privee;NON;NON;arceaux;91471;Orsay;2017-10-01T02:00:00+02:00;
48.889781899052046,2.3761374999999987;"{""coordinates"": [2.3761375, 48.889781899052046], ""type"": ""Point""}";n5627504688;NON;10;;public;NON;NON;arceaux;75119;19e Arrondissement;2021-05-01T02:00:00+02:00;
48.91292659817894,2.333135557942342;"{""coordinates"": [2.333135557942342, 48.91292659817894], ""type"": ""Point""}";w609805697;NON;4;;public;NON;NON;arceaux;93070;Saint-Ouen;2018-07-01T02:00:00+02:00;
48.91224849905219,2.481328599999999;"{""coordinates"": [2.4813286, 48.91224849905219], ""type"": ""Point""}";n9306740043;NON;8;;public;NON;NON;inconnu;93010;Bondy;2022-08-01T02:00:00+02:00;
48.62438749905028,2.427773499999999;"{""coordinates"": [2.4277735, 48.62438749905028], ""type"": ""Point""}";n7571840561;NON;10;;public;NON;NON;ratelier;91228;Évry;2020-05-01T02:00:00+02:00;
48.83198529905167,2.3041187999999995;"{""coordinates"": [2.3041188, 48.83198529905167], ""type"": ""Point""}";n8855359949;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-06-01T02:00:00+02:00;
48.87705849905194,2.3881132999999988;"{""coordinates"": [2.3881133, 48.87705849905194], ""type"": ""Point""}";n7634558992;NON;12;;public;NON;NON;arceaux;75119;19e Arrondissement;2021-09-01T02:00:00+02:00;
48.72301739905093,2.2699806999999996;"{""coordinates"": [2.2699807, 48.72301739905093], ""type"": ""Point""}";n10608062150;NON;6;;public;NON;NON;inconnu;91377;Massy;2023-02-01T01:00:00+01:00;
48.84509539905173,2.1982901999999997;"{""coordinates"": [2.1982902, 48.84509539905173], ""type"": ""Point""}";n10732899611;NON;12;;public;NON;NON;arceaux;92064;Saint-Cloud;2023-03-01T01:00:00+01:00;
48.838326199051714,2.4061241999999994;"{""coordinates"": [2.4061242, 48.838326199051714], ""type"": ""Point""}";n7637504879;NON;6;;public;NON;NON;arceaux;75112;12e Arrondissement;2020-06-01T02:00:00+02:00;
48.80453879905147,2.2893036999999996;"{""coordinates"": [2.2893037, 48.80453879905147], ""type"": ""Point""}";n6691269559;NON;4;;public;NON;NON;arceaux;92020;Châtillon;2021-07-01T02:00:00+02:00;
48.84597929905176,2.2408471;"{""coordinates"": [2.2408471, 48.84597929905176], ""type"": ""Point""}";n1252328158;NON;5;;public;NON;NON;inconnu;92012;Boulogne-Billancourt;2023-02-01T01:00:00+01:00;
48.81666509905154,2.3051068;"{""coordinates"": [2.3051068, 48.81666509905154], ""type"": ""Point""}";n3592143260;NON;6;;public;NON;NON;arceaux;92046;Malakoff;2021-01-01T01:00:00+01:00;
48.90409619905214,2.299538299999999;"{""coordinates"": [2.2995383, 48.90409619905214], ""type"": ""Point""}";n7845894914;NON;12;;public;NON;NON;arceaux;92024;Clichy;2020-08-01T02:00:00+02:00;
48.539149499049735,2.6633043;"{""coordinates"": [2.6633043, 48.539149499049735], ""type"": ""Point""}";n10287792118;NON;6;;public;NON;NON;arceaux;77288;Melun;2022-12-01T01:00:00+01:00;
48.882819499052005,2.3296967000000004;"{""coordinates"": [2.3296967, 48.882819499052005], ""type"": ""Point""}";n5209260103;NON;8;;public;NON;NON;arceaux;75109;9e Arrondissement;2023-03-01T01:00:00+01:00;
48.858412199051834,2.3591781999999997;"{""coordinates"": [2.3591782, 48.858412199051834], ""type"": ""Point""}";n8269359955;NON;0;;public;NON;NON;autres;75104;4e Arrondissement;2022-12-01T01:00:00+01:00;
48.83920129905169,2.3513061999999993;"{""coordinates"": [2.3513062, 48.83920129905169], ""type"": ""Point""}";n7537095799;NON;12;;public;NON;NON;arceaux;75105;5e Arrondissement;2022-08-01T02:00:00+02:00;
48.84259759905173,2.3665491999999992;"{""coordinates"": [2.3665492, 48.84259759905173], ""type"": ""Point""}";n9766790347;OUI;1;;clientele;NON;NON;casier;75113;13e Arrondissement;2022-05-01T02:00:00+02:00;
48.857803099051836,2.3996446000000002;"{""coordinates"": [2.3996446, 48.857803099051836], ""type"": ""Point""}";n2557519418;NON;10;;public;NON;NON;arceaux;75120;20e Arrondissement;2022-12-01T01:00:00+01:00;
48.829650199051635,2.3647787999999994;"{""coordinates"": [2.3647788, 48.829650199051635], ""type"": ""Point""}";n2301475477;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-12-01T01:00:00+01:00;
48.62305889905028,2.345477799999999;"{""coordinates"": [2.3454778, 48.62305889905028], ""type"": ""Point""}";n8025347466;NON;38;;public;NON;NON;inconnu;91549;Sainte-Geneviève-des-Bois;2020-10-01T02:00:00+02:00;
48.81180159905151,2.3742458;"{""coordinates"": [2.3742458, 48.81180159905151], ""type"": ""Point""}";n5530098229;NON;8;;public;NON;NON;arceaux;94041;Ivry-sur-Seine;2018-04-01T02:00:00+02:00;
48.710863799050856,2.2138730999999994;"{""coordinates"": [2.2138731, 48.710863799050856], ""type"": ""Point""}";n3334437643;OUI;5;;public;NON;NON;ratelier;91477;Palaiseau;2021-06-01T02:00:00+02:00;
48.7789828990513,2.2901843999999993;"{""coordinates"": [2.2901844, 48.7789828990513], ""type"": ""Point""}";n10678919652;NON;8;La Poste;public;NON;NON;arceaux;92071;Sceaux;2023-02-01T01:00:00+01:00;
48.83068199905164,2.2447484999999996;"{""coordinates"": [2.2447485, 48.83068199905164], ""type"": ""Point""}";n10601034101;NON;16;;public;OUI;NON;inconnu;92012;Boulogne-Billancourt;2023-02-01T01:00:00+01:00;
48.86200649905186,2.222155999999999;"{""coordinates"": [2.222156, 48.86200649905186], ""type"": ""Point""}";n9670320103;NON;6;;public;NON;NON;arceaux;92073;Suresnes;2022-04-01T02:00:00+02:00;
48.83340799905166,2.4002561;"{""coordinates"": [2.4002561, 48.83340799905166], ""type"": ""Point""}";n8284069723;OUI;0;;privee;NON;NON;inconnu;75112;12e Arrondissement;2021-01-01T01:00:00+01:00;
48.827821099051626,2.2365252999999985;"{""coordinates"": [2.2365253, 48.827821099051626], ""type"": ""Point""}";n10596807930;NON;4;;public;OUI;NON;inconnu;92012;Boulogne-Billancourt;2023-01-01T01:00:00+01:00;
48.85031189905178,2.2976379999999996;"{""coordinates"": [2.297638, 48.85031189905178], ""type"": ""Point""}";n8384550107;NON;14;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07-01T02:00:00+02:00;
48.833167499051655,2.4023219999999985;"{""coordinates"": [2.402322, 48.833167499051655], ""type"": ""Point""}";n5686044610;NON;6;;public;NON;NON;arceaux;75112;12e Arrondissement;2018-06-01T02:00:00+02:00;
48.827493299051646,2.376255499999999;"{""coordinates"": [2.3762555, 48.827493299051646], ""type"": ""Point""}";n2399152499;NON;28;;public;NON;NON;arceaux;75113;13e Arrondissement;2022-08-01T02:00:00+02:00;
48.90495109905215,2.4825206999999985;"{""coordinates"": [2.4825207, 48.90495109905215], ""type"": ""Point""}";n9306740056;NON;8;;public;NON;NON;inconnu;93010;Bondy;2021-12-01T01:00:00+01:00;
48.8705860990519,2.344216899999999;"{""coordinates"": [2.3442169, 48.8705860990519], ""type"": ""Point""}";n5625211997;NON;18;;public;NON;NON;arceaux;75102;2e Arrondissement;2021-11-01T01:00:00+01:00;
48.912610999052184,2.4783707999999995;"{""coordinates"": [2.4783708, 48.912610999052184], ""type"": ""Point""}";n9578064762;NON;3;;public;NON;NON;inconnu;93010;Bondy;2022-03-01T01:00:00+01:00;
48.8228253990516,2.361899799999999;"{""coordinates"": [2.3618998, 48.8228253990516], ""type"": ""Point""}";n7070567641;NON;12;;public;NON;NON;arceaux;75113;13e Arrondissement;2019-12-01T01:00:00+01:00;
48.643594399050414,2.2332102999999996;"{""coordinates"": [2.2332103, 48.643594399050414], ""type"": ""Point""}";n3189388846;NON;2;;public;NON;NON;arceaux;91363;Marcoussis;2014-11-01T01:00:00+01:00;
48.887836199052025,2.3184738;"{""coordinates"": [2.3184738, 48.887836199052025], ""type"": ""Point""}";n5679768380;NON;8;;public;NON;NON;arceaux;75117;17e Arrondissement;2018-06-01T02:00:00+02:00;
48.78119139905132,2.2414658;"{""coordinates"": [2.2414658, 48.78119139905132], ""type"": ""Point""}";n8828043303;NON;10;;public;NON;NON;arceaux;92023;Clamart;2021-07-01T02:00:00+02:00;
48.86616199905188,2.283754299999999;"{""coordinates"": [2.2837543, 48.86616199905188], ""type"": ""Point""}";n7604956858;NON;10;;public;NON;NON;arceaux;75116;16e Arrondissement;2020-06-01T02:00:00+02:00;
48.87097899905191,2.3766982999999997;"{""coordinates"": [2.3766983, 48.87097899905191], ""type"": ""Point""}";n9705712517;NON;12;;public;NON;NON;arceaux;75111;11e Arrondissement;2022-05-01T02:00:00+02:00;
48.96071349905252,2.1902467000000008;"{""coordinates"": [2.1902467, 48.96071349905252], ""type"": ""Point""}";n8959642015;OUI;38;;public;NON;NON;arceaux;95176;Cormeilles-en-Parisis;2021-10-01T02:00:00+02:00;
48.77545190203272,2.007101779522202;"{""coordinates"": [2.007101779522202, 48.77545190203272], ""type"": ""Point""}";w263557974;OUI;40;;clientele;OUI;NON;arceaux;78621;Trappes;2022-10-01T02:00:00+02:00;
48.70089019905078,2.1884197;"{""coordinates"": [2.1884197, 48.70089019905078], ""type"": ""Point""}";n7730134585;NON;4;;clientele;NON;NON;ratelier;91471;Orsay;2022-09-01T02:00:00+02:00;
48.880185399051975,2.371815399999999;"{""coordinates"": [2.3718154, 48.880185399051975], ""type"": ""Point""}";n9712587321;NON;8;;public;NON;NON;arceaux;75119;19e Arrondissement;2022-05-01T02:00:00+02:00;
