geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.91430279905221,2.228857299999999;"{""coordinates"": [2.2288573, 48.91430279905221], ""type"": ""Point""}";n6462404517;NON;6;;public;NON;NON;arceaux;92025;Colombes;2019-05-01T02:00:00+02:00;
48.82434249905159,2.3766747999999986;"{""coordinates"": [2.3766748, 48.82434249905159], ""type"": ""Point""}";n2240230453;OUI;16;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-05-01T02:00:00+02:00;
48.888750899052056,2.3244323000000002;"{""coordinates"": [2.3244323, 48.888750899052056], ""type"": ""Point""}";n5679775091;NON;16;;public;NON;NON;arceaux;75117;17e Arrondissement;2018-06-01T02:00:00+02:00;
48.86269629905186,2.387493999999999;"{""coordinates"": [2.387494, 48.86269629905186], ""type"": ""Point""}";n10700178102;NON;22;;public;NON;NON;arceaux;75111;11e Arrondissement;2023-03-01T01:00:00+01:00;
48.875282799051966,2.3938530999999994;"{""coordinates"": [2.3938531, 48.875282799051966], ""type"": ""Point""}";n5691530548;NON;10;;public;NON;NON;arceaux;75120;20e Arrondissement;2018-06-01T02:00:00+02:00;
48.90406959905213,2.2781758;"{""coordinates"": [2.2781758, 48.90406959905213], ""type"": ""Point""}";n3613604443;NON;8;;public;NON;NON;arceaux;92026;Courbevoie;2015-06-01T02:00:00+02:00;
48.78332919905133,2.2142435999999996;"{""coordinates"": [2.2142436, 48.78332919905133], ""type"": ""Point""}";n9350898421;NON;16;;public;NON;NON;arceaux;78640;Vélizy-Villacoublay;2022-02-01T01:00:00+01:00;
48.882931299052004,2.3825303999999994;"{""coordinates"": [2.3825304, 48.882931299052004], ""type"": ""Point""}";n4904815598;NON;10;;public;NON;NON;arceaux;75119;19e Arrondissement;2018-05-01T02:00:00+02:00;
48.84987259905176,2.354836699999999;"{""coordinates"": [2.3548367, 48.84987259905176], ""type"": ""Point""}";n8188121318;NON;8;;public;NON;NON;arceaux;75105;5e Arrondissement;2022-07-01T02:00:00+02:00;
48.82839379905163,2.373057099999999;"{""coordinates"": [2.3730571, 48.82839379905163], ""type"": ""Point""}";n4802011972;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2017-04-01T02:00:00+02:00;
